,id,p_type,s_name,s_area_name,comment_count,post_time,title,author,content,page_url
2467,1461778448536_F01,forum,mobile01,投資與理財(生活娛樂),15,2016/4/28 01:25:00,華航現在10.75適合入手嗎？,foxrus,眼看暑假旺季即將來臨，油價也很穩定<BR>請教各位大大，華航現在10.75適合入場嗎？,http://www.mobile01.com/topicdetail.php?f=291&t=4782935
3973,1466521416561_F01,forum,mobile01,投資與理財(生活娛樂),45,2016/6/21 22:54:00,華航如果罷工股價跌停各位大哥要跟進嗎？,Faded,工會已經投票通過要發動罷工了，到時候股價一定會有波動雖然這間公司股票其實沒什麼用公司沒賺錢員工還在吵要福利(題外話），大家的目標價會是多少,https://www.mobile01.com/topicdetail.php?f=291&t=4837984
4015,1466637556353_F01,forum,mobile01,投資與理財(生活娛樂),23,2016/6/23 07:10:00,華航買點出現囉,gn00448694,華航工會罷工才有這麼低的價錢，危機入市，等罷工結束就會開始大漲囉,http://www.mobile01.com/topicdetail.php?f=291&t=4839101
4037,1466696093626_F01,forum,mobile01,投資與理財(生活娛樂),41,2016/6/23 23:27:00,華航 明天會跌停板嗎？,卍南無阿彌陀佛卍,華航好像不太行了，明天開始連續跌停板幾支呢？,http://www.mobile01.com/topicdetail.php?f=291&t=4839992
4046,1466735672896_F01,forum,mobile01,投資與理財(生活娛樂),1,2016/6/24 10:27:00,華航工會有人先放空華航嗎?,john0002,"如果工會有人先放空華航,是不是要查一下?<BR>自己亂想的.",http://www.mobile01.com/topicdetail.php?f=291&t=4840275
4072,1466746574253_F01,forum,mobile01,投資與理財(生活娛樂),13,2016/6/24 13:33:00,罷工，，華航股價居然上漲,ebola01,罷工華航股價居然上漲<BR><BR>罷工不用付薪水，航線本來就是虧錢的，停飛反而賺錢?????????????????,http://www.mobile01.com/topicdetail.php?f=291&t=4840460
4086,1466759161573_F01,forum,mobile01,投資與理財(生活娛樂),18,2016/6/24 17:02:00,出清華航持股,窮到只剩下錢,原因：<BR>勞資爭議不斷+這是一家沒前途的公司,http://www.mobile01.com/topicdetail.php?f=291&t=4840738
4096,1466776284509_F01,forum,mobile01,投資與理財(生活娛樂),68,2016/6/24 21:40:00,華航空服人員真勇敢,新竹不夜,一般員工會因為公司不合理的要求去罷工嗎？而且華航罷工和解後，真的不會秋後算帳嗎？回到公司後不會覺得怪怪的，就算離職一樣當空服員，真的有公司敢任用嗎？,http://www.mobile01.com/topicdetail.php?f=291&t=4841027
4109,1466820324067_F01,forum,mobile01,投資與理財(生活娛樂),28,2016/6/25 09:54:00,"從華航罷工結果, 全台老闆挫咧等 ?",smalla2000,如題 151515<BR>下一個罷工的會是哪家 ?,http://www.mobile01.com/topicdetail.php?f=291&t=4841322
4370,1467601257985_F01,forum,mobile01,投資與理財(生活娛樂),37,2016/7/4 10:57:00,華航機會來了?,jacky8000,華航持續跌，<BR>適合壓身家買華航嗎?<BR>這支官股主打便宜又安全，<BR>現在機會真的來了嗎?<BR>想想榮化，<BR>想想中鋼，<BR>每當各位看衰它們時，<BR>最後漲翻天,http://www.mobile01.com/topicdetail.php?f=291&t=4850124
4812,1469067855494_F01,forum,mobile01,投資與理財(生活娛樂),7,2016/7/21 10:08:00,關於 華航 (2610),l3011620131,前陣子鬧很大的罷工事件 華航 (2610) 請問各位大怎麼看?,https://www.mobile01.com/topicdetail.php?f=291&t=4867624
5411,1471626139161_F01,forum,mobile01,投資與理財(生活娛樂),6,2016/8/20 00:49:00,以華航這種經營方式能繼續放空嗎?,pk-king-,"華航是帶有官股的公司,當然有些歷史包袱跟虧損的轉投資,尤其是這次空服員的處理方式,我看這公司差不多了,從去年股價就一直溜滑梯到現在9塊,你們覺得利空出盡到底了,還是給他空下去?",http://www.mobile01.com/topicdetail.php?f=291&t=4896199
6413,1475722575914_F01,forum,mobile01,投資與理財(生活娛樂),7,2016/10/6 10:41:00,中華航空哩程價值？信用卡一問！,張小小宇,小弟最近想辦張累積哩程的信用卡，<BR>沒使用過哩程，看不太懂計算方式，<BR>兩張優惠以我的使用方式來說沒差，<BR>先不列入比較！<BR>年刷20萬的情況下<BR>A卡：免年費的一年可以累積6666哩<BR>B卡：年費2200元的可以累積8695哩<BR>兩張卡差了2029哩，以華航哩程來看<BR>這2029哩有2200元的價值嗎？,http://www.mobile01.com/topicdetail.php?f=291&t=4945391
7416,1479876901309_F01,forum,mobile01,投資與理財(生活娛樂),6,2016/11/23 12:41:00,中國信託華航無限卡 vs 匯豐 華航聯名無限卡 那個比較優?,devinality,"請問各位大大, 如果經常做華航的情況下<BR>請問哪張卡會比較優惠會比較多?",http://www.mobile01.com/topicdetail.php?f=291&t=4993099
7435,1479911127548_F01,forum,mobile01,投資與理財(生活娛樂),0,2016/11/23 22:17:00,11/24華航，長榮 飆股好機會,為愛付出瘋狂,https://tw.news.yahoo.com/打臉長官-政院-華航接收興航全航線-交部-僅部分-140005954.html<BR><BR>華航只會接台北—花蓮與台中—花蓮航線。金門─馬公屬包機航線，將由立榮接手。至於兩岸與國際航線，則由民航局收回航權後重新分配。,http://www.mobile01.com/topicdetail.php?f=291&t=4993616
7462,1479973999396_F01,forum,mobile01,投資與理財(生活娛樂),8,2016/11/24 15:41:00,"復興航空確定停飛了,華航或長榮的股票會漲嗎？",oled.eric,"站在生意的立場<BR>復興航空停飛了, 復興的航線,將由其他公司承接,原復興的客戶,理論上會該搭華航或長榮<BR>那就邏輯看,華航跟長榮再來的營利狀況,變好的機會比較大<BR>那是否再來也有機會聯動股價呢？<BR>不知道網友的看法如何？<BR>可以分享嗎？",http://www.mobile01.com/topicdetail.php?f=291&t=4994313
9488,1488892556472_F01,forum,mobile01,投資與理財(生活娛樂),0,2017/3/7 21:08:00,東南亞兩家廉航：越捷航空、亞航市值超過華航！,OppoSKY,時勢造英雄 ，這是一家時代的企業 …<BR>還有另外一家市值比他高：馬來西亞的亞洲航空 (超級亞洲有介紹) ，這些航空公司票價只有一般航空公司的五、六折，非常受到東協市場的歡迎！<BR>2017/03/07<BR>對國際財經新聞的讀者來說，她的名字叫阮氏芳邵（Nguy?n Th? Ph??ng Th?o），是越南首家廉價航空業者（LCC）越捷航空（VietJet Air）創辦人暨執行長，也是最大股東，持股逾60%。<BR>對越南民眾來說，阮氏芳邵是越南股市第2家掛牌的航空公司負責人，也幾乎是越南國內航空市場的代名詞。<BR>對於財經媒體圈子而言，阮氏芳邵不論在越南或整個東南亞，都是歷來首位白手起家的女性億萬富翁（身家逾10億美元者）。<BR>對她的家庭來說，阮氏芳邵只是位46歲的媽媽，有兩個孩子。<BR>阮氏芳邵現年46歲 為越捷航空創辦人、最大股東<BR>外媒報導<BR>?阮氏芳邵一手成立的越捷航空，上周二在胡志明證交所IPO，截至昨天市值已達41.22兆越南盾（約614億元台幣）計算，越捷航空的市值已經超越華航（2610）的549億元台幣，直逼長榮航空（2618）的623億元台幣。<BR>更令人注意的是，持有越捷航空逾60%股份的阮氏芳邵，立即成為億萬富翁，若以持股比例計算，她身家至少有364億元台幣，超過10億美元的億萬富豪門檻。<BR>在以男性與家族企業為主的亞洲富豪圈子中，白手起家的阮氏芳邵，無異是萬綠叢中一點紅。,https://www.mobile01.com/topicdetail.php?f=291&t=5085130
10937,1494096007046_F01,forum,mobile01,投資與理財(生活娛樂),29,2017/5/7 02:25:00,請問有高個子從華航飛回台灣的嗎??,yang643,上飛機後就定位後發現 ，發現我的椅子怪怪的，椅背整個被往前頃，一開始還以為是被調整過，剛開始還在找按鈕可以往後靠的，<BR>可是後來發現根本也沒往後靠，然後椅背一直被後面的人刮，然後我回頭看，對方還會跟我致歉，也不是什麼小屁孩樣子，是一對情侶，<BR>但做我後面的是男的，後來我好像太累了還是什麼 我整個睡著了，<BR>雖然下飛機的時候 有看到那個男個子是比我高，可是我們的位置都是靠走道耶？就算個個子再什麼高，有一隻腳可以放走道吧？<BR>目測雖然不準，但我覺得也沒有誇張到非常高的個子，我想問有板上有人個子高到你坐飛機，膝蓋會整個頂前面的椅子頂起來的那種<BR>因為也不太可能是故意的， 因為他這樣自己也不舒服啊？<BR>其實當下應該和空姐反映的，可能我太軟弱怕事了，搞不好對方也是在等我和空姐反映換位置，<BR>但我記得後來我睡著了？<BR>我170出頭 對方應該頂多了不起18幾而已，就算19X好了，我想問問板上有19X的人坐飛機的時候有誇張到頂前面的椅背嗎??<BR>那你們自己不會不舒服嗎?? 以及我們是靠走道的，就算再什麼高 至少可以把一隻腳放走道吧??<BR>而且中間他一直在在刮椅背耶？那他自己不會不舒服嗎?,https://www.mobile01.com/topicdetail.php?f=291&t=5142571
11058,1494556105580_F01,forum,mobile01,投資與理財(生活娛樂),25,2017/5/12 10:23:00,華航（2610）跌至歷史低點，低油價受惠股,真心哥,撇開08年中～09年中的金融風暴不看，現在的時機應該不錯<BR>,https://www.mobile01.com/topicdetail.php?f=291&t=5148199
13352,1503495357892_F01,forum,mobile01,投資與理財(生活娛樂),36,2017/8/23 21:28:00,2610 華航,asd0301031,小弟聽聞華航利多滿滿 又聞第三季營收獲利指日可待 就小試下單10張 11.50買進<BR>剛好今日成交爆量 就此開這篇文章 互交交流一下 各位大大買華航的經驗,https://www.mobile01.com/topicdetail.php?f=291&t=5245914
21282,1530507235011_F01,forum,mobile01,投資與理財(生活娛樂),8,2018/7/2 12:19:00,2610華航,phc377339,已經到了9塊多了<BR>是進場時機了嗎?<BR>想知道大家的看法<BR>謝謝~~,https://www.mobile01.com/topicdetail.php?f=291&t=5503006
24649,1541843558560_F01,forum,mobile01,投資與理財(生活娛樂),2,2018/11/10 17:42:00,HSBC華航卡vs中信大中華卡,Alexander_Tai,因為常出國旅行想累積點數跟需要優惠所以想要辦這兩張卡不知道這樣條件好不好過無限卡？銀行認定財力不承認有價證券<BR>年齡：28<BR>年資：3<BR>工作：外商上櫃公司資深專員<BR>財力證明：本人收入不高月薪約37k<BR> 106年薪78萬<BR>證券帳戶X2無融資融券現股市值199萬+80<BR> 現金活存100萬<BR>持有卡片：DBS飛行世界卡額度10萬（ANZ轉卡自105年開始使用）<BR>花旗饗樂額度58000（101年開始）<BR>玉山銀行家樂福鈦金103年+新東陽（101年）共用額度5萬<BR>目前共4張<BR>最近3個月有無辦卡紀錄：無<BR>有無貸款：無,https://www.mobile01.com/topicdetail.php?f=291&t=5626222
25061,1543312859507_1_F01,forum,mobile01,投資與理財(生活娛樂),4,2018/11/27 17:57:00,韓國瑜概念股，人進來，貨出去-華航（2610）,非凡01,目前韓國瑜概念股一堆<BR>小弟也來推薦一檔<BR>消息面：<BR> 受惠<BR>1.油價持續下跌<BR> 2.台商台幹回臺投票，投完還是要返回 <BR>3.農曆年快到寒假旅遊旺季 <BR>4.避免明年實施貿易，10-12月貨運量暴增 <BR>最重要的是人進得來，貨出去，賺大錢<BR>5大陸釋出善意，陸客來台預估增兩成<BR>籌碼面：<BR>目前外資從10月29日轉買超，至今已有22天交易日持續買超<BR>10月月增3.47%.年增5.07% <BR>股價目前便宜<BR>有緣人自行判斷<BR>華航（2610）,https://www.mobile01.com/topicdetail.php?f=291&t=5646006
